"person","givenName","surname"
"http://dbpedia.org/resource/Richard_Kalich","Richard","Kalich"
"http://dbpedia.org/resource/Ed_Cullen","Ed","Cullen"
"http://dbpedia.org/resource/Elmaz_Abinader","Elmaz","Abinader"
"http://dbpedia.org/resource/Michael_Breault","Michael","Breault"
"http://dbpedia.org/resource/Patrick_Lucien_Price","Patrick Lucien","Price"
"http://dbpedia.org/resource/Mark_O'Donnell","Mark","Odonnell"
"http://dbpedia.org/resource/Abigail_Garner","Abigail","Garner"
"http://dbpedia.org/resource/William_Attaway","William","Attaway"
"http://dbpedia.org/resource/Maya_Banks","Maya","Banks"
"http://dbpedia.org/resource/Kate_Harrington_(poet)","Kate","Harrington"
"http://dbpedia.org/resource/Arthur_Richman","Arthur","Richman"
"http://dbpedia.org/resource/Todd_DePastino","Todd","Depastino"
"http://dbpedia.org/resource/Tina_St._John","Tina","St. John"
"http://dbpedia.org/resource/Carrie_Brown_(author)","Carrie","Brown"
"http://dbpedia.org/resource/Gus_Williams_(vaudeville)","Gus","Williams"
"http://dbpedia.org/resource/Jim_Turner_(editor)","Jim","Turner"
"http://dbpedia.org/resource/Langston_Hughes","Langston","Hughes"
"http://dbpedia.org/resource/Richard_B._Pelzer","Richard","Pelzer"
"http://dbpedia.org/resource/Bates_Gill","Bates","Gill"
"http://dbpedia.org/resource/David_Mills_(TV_writer)","David","Mills"
"http://dbpedia.org/resource/Derek_Nikitas","Derek","Nikitas"
"http://dbpedia.org/resource/Helen_Roney_Sattler","Helen Roney","Sattler"
"http://dbpedia.org/resource/John_Verdon","John","Verdon"
"http://dbpedia.org/resource/K._Tempest_Bradford","K. Tempest","Bradford"
"http://dbpedia.org/resource/Stanford_Sherman","Sherman","Stanford"
"http://dbpedia.org/resource/Eleanor_Mercein_Kelly","Eleanor Mercein","Kelly"
"http://dbpedia.org/resource/George_Goodheart","George","Goodheart"
"http://dbpedia.org/resource/Mark_Dawidziak","Mark","Dawidziak"
"http://dbpedia.org/resource/Poldine_Carlo","Poldine","Carlo"
"http://dbpedia.org/resource/Barry_O'Brien","Barry","Obrien"
"http://dbpedia.org/resource/H._H._Lewis","H.H.","Lewis"
"http://dbpedia.org/resource/Paul_Osborn","Paul","Osborn"
"http://dbpedia.org/resource/Ron_Friedman","Ron","Friedman"
"http://dbpedia.org/resource/William_Ludwig","William","Ludwig"
"http://dbpedia.org/resource/William_M._Finkelstein","William M.","Finkelstein"
"http://dbpedia.org/resource/Steven_Reigns","Steven","Reigns"
"http://dbpedia.org/resource/Hugh_McPhillips","Hugh","McPhillips"
"http://dbpedia.org/resource/Elizabeth_Alexander_(poet)","Elizabeth","Alexander"
"http://dbpedia.org/resource/Muna_Lee_(writer)","Muna","Lee"
